Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American,Nationals Place,Nationals Time
69207,2025,Alex Metko,SR,Wis.-Whitewater,5,1500.7029,1501.2026,21.57208853273134,21,0,166,1545.5166
111369,2025,Charlie Houck,FR,Washington U.,6,1488.8101,1488.8101,27.30808495321489,57,0,167,1545.9167
89025,2025,Jack Czarnecki,JR,RPI,5,1518.8038,1527.6016,5.160725934439827,63,0,168,1546.5168
73997,2025,Chris Gould,SR,Colby,6,1485.0009,1485.0009,18.87072005985993,7,0,169,1546.5169
111371,2025,Rishi Shadaksharappa,FR,Washington U.,6,1523.7018,1523.7018,19.237925873295186,21,0,170,1546.517
81844,2025,Alex Bjork,JR,St. Olaf,5,1526.2091,1526.2091,18.75512615293482,35,0,171,1546.8171
63323,2025,Axel Klomparens,SR,Colorado College,6,1487.7017,1513.8002999999999,16.775257167195864,21,0,172,1547.3172
96500,2025,Elias Kretchmar,SO,Hope,5,1515.5009,1515.5009,10.077181019828993,7,0,173,1548.4173
64687,2025,Matt Granizo,SR,TCNJ,7,1494.4045,1494.4045,10.216139301595273,35,0,174,1549.1173999999999
63191,2025,Nicholas Lyndaker,SR,St. Lawrence,6,1460.0004,1484.9013,11.616906917178921,50,0,175,1549.4175
123674,2025,Grant Musick,SO,U. Of Chicago,5,1508.5038,1508.5038,13.232722653271344,50,0,176,1550.0176
121918,2025,Ethan Sholk,FR,Middlebury,6,1498.9051000000002,1498.9051000000002,25.483582351219503,35,0,177,1550.2177000000001
101992,2025,Keiyu Mamiya,SO,Williams,6,1506.8002999999999,1513.1025,22.634035156427622,21,0,178,1550.4178000000002
105233,2025,Ari Elmayan,SO,North Central (Ill.),6,1513.6006,1513.6006,60.55870254262254,21,0,179,1550.9179000000001
77720,2025,Cohen Manges,JR,Swarthmore,6,1481.1006,1484.8005,17.08422749863152,7,0,180,1551.518
94549,2025,Pierce Clark,SO,Claremont-Mudd-Scripps,6,1465.4031,1465.4031,49.564379593371626,56,0,181,1552.8181
98114,2025,Huck Oakes,SO,NYU,5,1483.3033,1483.3033,25.44319347655873,35,0,182,1553.1182
95724,2025,Thomas Blake,SO,Suny Geneseo,7,1508.7065,1508.7065,19.616598960977715,35,0,183,1553.4183
96625,2025,York Bourgeois,SO,Carnegie Mellon,6,1509.7017,1509.7017,21.93076665149664,35,0,184,1554.0184
99397,2025,Martin Kimmel,SO,Wis.-Stevens Point,5,1503.1028999999999,1503.1028999999999,18.20203941160449,21,0,185,1554.4185
77025,2025,Cannon Powell,JR,Pfeiffer,6,1505.0013,1505.0013,23.120893060942876,7,0,186,1554.5186
78978,2025,Ryan Weber,JR,Misericordia,7,1512.4008000000001,1512.4008000000001,36.666577526880225,42,0,187,1554.6187
106421,2025,Malachi Kurth,SO,Wis.-Stevens Point,5,1492.702,1492.702,24.653035393882075,21,0,188,1555.5188
84794,2025,Rhys Phelps,JR,Rose-Hulman,6,1538.8085999999998,1538.8085999999998,36.24577332504303,50,0,189,1555.7189
91360,2025,Lukas Walko,JR,Lebanon Valley,6,1515.4011,1515.4011,25.118896191778244,35,0,190,1555.819
71164,2025,Ryan Rininger,SR,Wis.-Stevens Point,5,1506.7031,1506.7031,25.984879847280396,21,0,191,1556.2191
68822,2025,Thomas Stephens,SR,Amherst,5,1519.4085,1519.4085,12.856338502563622,35,0,192,1556.5192
