Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American
17758,2021,Owen Daily,GR,Amherst,6,1200.0,1200.0,131.54868908506842,70,0
18178,2021,Ben Santos,GR,Carleton,6,1472.6,1472.6,33.66652227691812,35,0
18182,2021,Henry Bowman,GR,Carleton,6,1493.4,1493.4,39.094575497546096,35,0
20195,2021,Miles Christensen,GR,Claremont-Mudd-Scripps,4,1461.0,1482.0,17.978667915059805,63,0
20201,2021,Adam Wilkinson,GR,Claremont-Mudd-Scripps,5,1486.0,1515.0,11.97537473317639,63,0
22869,2021,Andrew Yatsuhashi,GR,WPI,6,1606.7,1606.7,56.4975663192672,21,0
22992,2021,Matyas Csiki-Fejer,GR,Suffolk,6,1455.4,1455.4,31.96547942703188,49,0
22993,2021,David Reynolds,GR,WPI,6,1501.2,1501.2,52.705757512818224,35,0
22999,2021,Brian Brooks,GR,WPI,6,1518.0,1553.2,34.675018024508624,35,0
23003,2021,Logan Gaudette,GR,WPI,6,1557.0,1586.7,37.492290874258394,35,0
23007,2021,Tim Lautenbach,GR,Trinity (Conn.),7,1531.6,1531.6,31.579930335578663,42,0
23242,2021,Simon Heys,GR,Wilmington (Ohio),5,1480.4,1480.4,23.90966331841581,7,0
23705,2021,Harry Dudley,GR,Simpson (Iowa),5,1484.8,1484.8,31.141371196528922,7,0
26078,2021,Kevin Lauer,GR,Rowan,6,1507.0,1548.0,50.0039470664289,77,0
26079,2021,Chris Andersen,GR,Ramapo,6,1497.3,1497.3,15.682474294574849,21,0
26080,2021,Steven Fiumefreddo,GR,Ramapo,3,1505.7,1505.7,36.81313171500984,21,0
26351,2021,Evan Jamrozy,RS,Lewis,4,1505.0,1509.5,28.27976308245882,7,0
26352,2021,Ryan Harvey,GR,Loras,5,1493.6,1493.6,22.827108336361846,7,0
26353,2021,Will Yasdick,GR,Loras,6,1505.1,1505.1,43.97569328617801,35,0
26354,2021,Wyatt Kelly,GR,Loras,6,1483.4,1483.4,44.59551546960744,35,0
26481,2021,Tyler Amos,GR,Johns Hopkins,5,1540.0,1559.6,28.65021814925674,35,0
26881,2021,Bradshaw Lathbury,GR,Berry,6,1525.4,1525.4,49.830836057828876,7,0
27111,2021,Spencer Moore,GR,Emory,3,1501.0,1519.7,21.31639952920964,35,0
27114,2021,Brett Lucas,GR,Emory,5,1515.4,1515.4,19.166115934116643,35,0
